id	endodermis_pseudotime_interpretation
AT1G01010	Does Not Change Significantly As A Function Of Pseudotime
AT1G01020	Does Not Change Significantly As A Function Of Pseudotime
AT1G01030	Does Not Change Significantly As A Function Of Pseudotime
AT1G01040	Does Not Change Significantly As A Function Of Pseudotime
AT1G01050	Changes Significantly in Both Trajectories
AT1G01060	Does Not Change Significantly As A Function Of Pseudotime
AT1G01070	Does Not Change Significantly As A Function Of Pseudotime
AT1G01080	Does Not Change Significantly As A Function Of Pseudotime
AT1G01090	Changes Significantly in Both Trajectories
AT1G01100	Changes Significantly in Both Trajectories
AT1G01110	Does Not Change Significantly As A Function Of Pseudotime
AT1G01120	Changes Significantly in Main Branch Only
AT1G01130	Does Not Change Significantly As A Function Of Pseudotime
AT1G01140	Does Not Change Significantly As A Function Of Pseudotime
AT1G01160	Does Not Change Significantly As A Function Of Pseudotime
AT1G01170	Does Not Change Significantly As A Function Of Pseudotime
AT1G01180	Does Not Change Significantly As A Function Of Pseudotime
AT1G01200	Does Not Change Significantly As A Function Of Pseudotime
AT1G01210	Does Not Change Significantly As A Function Of Pseudotime
AT1G01220	Does Not Change Significantly As A Function Of Pseudotime
AT1G01225	Does Not Change Significantly As A Function Of Pseudotime
AT1G01230	Does Not Change Significantly As A Function Of Pseudotime
AT1G01240	Does Not Change Significantly As A Function Of Pseudotime
AT1G01260	Does Not Change Significantly As A Function Of Pseudotime
AT1G01290	Does Not Change Significantly As A Function Of Pseudotime
AT1G01300	Does Not Change Significantly As A Function Of Pseudotime
AT1G01310	Does Not Change Significantly As A Function Of Pseudotime
AT1G01320	Does Not Change Significantly As A Function Of Pseudotime
AT1G01340	Does Not Change Significantly As A Function Of Pseudotime
AT1G01350	Does Not Change Significantly As A Function Of Pseudotime
AT1G01370	Does Not Change Significantly As A Function Of Pseudotime
AT1G01380	Does Not Change Significantly As A Function Of Pseudotime
AT1G01430	Does Not Change Significantly As A Function Of Pseudotime
AT1G01440	Does Not Change Significantly As A Function Of Pseudotime
AT1G01448	Does Not Change Significantly As A Function Of Pseudotime
AT1G01470	Changes Significantly in Both Trajectories
AT1G01480	Does Not Change Significantly As A Function Of Pseudotime
AT1G01490	Does Not Change Significantly As A Function Of Pseudotime
AT1G01500	Does Not Change Significantly As A Function Of Pseudotime
AT1G01510	Does Not Change Significantly As A Function Of Pseudotime
AT1G01520	Does Not Change Significantly As A Function Of Pseudotime
AT1G01540	Does Not Change Significantly As A Function Of Pseudotime
AT1G01550	Changes Significantly in Both Trajectories
AT1G01560	Does Not Change Significantly As A Function Of Pseudotime
AT1G01570	Does Not Change Significantly As A Function Of Pseudotime
AT1G01580	Does Not Change Significantly As A Function Of Pseudotime
AT1G01610	Does Not Change Significantly As A Function Of Pseudotime
AT1G01620	Changes Significantly in Both Trajectories
AT1G01630	Does Not Change Significantly As A Function Of Pseudotime
AT1G01640	Does Not Change Significantly As A Function Of Pseudotime
AT1G01650	Does Not Change Significantly As A Function Of Pseudotime
AT1G01670	Does Not Change Significantly As A Function Of Pseudotime
AT1G01690	Does Not Change Significantly As A Function Of Pseudotime
AT1G01710	Does Not Change Significantly As A Function Of Pseudotime
AT1G01715	Does Not Change Significantly As A Function Of Pseudotime
AT1G01720	Does Not Change Significantly As A Function Of Pseudotime
AT1G01725	Does Not Change Significantly As A Function Of Pseudotime
AT1G01730	Does Not Change Significantly As A Function Of Pseudotime
AT1G01750	Does Not Change Significantly As A Function Of Pseudotime
AT1G01760	Does Not Change Significantly As A Function Of Pseudotime
AT1G01770	Does Not Change Significantly As A Function Of Pseudotime
AT1G01780	Does Not Change Significantly As A Function Of Pseudotime
AT1G01790	Does Not Change Significantly As A Function Of Pseudotime
AT1G01800	Changes Significantly in Main Branch Only
AT1G01810	Does Not Change Significantly As A Function Of Pseudotime
AT1G01820	Does Not Change Significantly As A Function Of Pseudotime
AT1G01830	Does Not Change Significantly As A Function Of Pseudotime
AT1G01840	Does Not Change Significantly As A Function Of Pseudotime
AT1G01860	Does Not Change Significantly As A Function Of Pseudotime
AT1G01880	Does Not Change Significantly As A Function Of Pseudotime
AT1G01900	Does Not Change Significantly As A Function Of Pseudotime
